item_id,trial_type,pic_file,trial_lang,sing_plur,du_gend,carrier,object_name
92,target,91_sem_remote control.png,Dutch,sing,de,is deze,afstandsbediening
93,target,92_vis_candle holder.png,Dutch,sing,de,is deze,kandelaar
94,target,93_vis_bow tie.png,Dutch,sing,de,is deze,vlinderdas
95,target,95_u1_lamp post.png,Dutch,sing,de,is deze,lantaarnpaal
96,target,96_vis_traffic sign.png,Dutch,sing,het,is dit,verkeersbord
97,target,100_sem_riding helmet.png,Dutch,sing,de,is deze,paardrijhelm
98,target,100_vis_fishing rod.png,Dutch,sing,de,is deze,Vishengel
99,catch,90_u2_crutch.png,Dutch,sing,de,is deze,kokosnoot
100,catch,91_u1_trombone.png,Dutch,sing,de,is deze,kano
101,catch,91_vis_blackboard.png,Dutch,sing,de,is deze,tamboerijn
102,catch,92_u1_sneakers.png,Dutch,sing,de,is deze,tomaat
103,catch,93_u2_logs.png,Dutch,sing,de,is deze,kruk
104,catch,94_sem_wheel.png,Dutch,sing,de,is deze,trombone
105,catch,96_u1_rifle.png,Dutch,sing,het,is dit,schoolbord
106,catch,96_u2_printer.png,Dutch,plur,de,zijn deze,sportschoenen
107,catch,98_sem_caterpillar.png,Dutch,sing,de,is deze,waterpijp
108,catch,98_u1_rice.png,Dutch,sing,het,is dit,cassettebandje
109,catch,98_vis_toolbox.png,Dutch,plur,de,zijn deze,slippers
110,catch,99_sem_candle.png,Dutch,sing,de,is deze,slee
111,catch,99_u2_flippers.png,Dutch,plur,de,zijn deze,boomstammen
112,catch,99_vis_plunger.png,Dutch,sing,het,is dit,wiel
113,catch,100_u1_binoculars.png,Dutch,sing,het,is dit,geweer
114,catch,100_u2_raspberry.png,Dutch,sing,de,is deze,printer
115,catch,1_sem_corn.png,Dutch,sing,de,is deze,kwast
116,catch,1_u1_battery.png,Dutch,sing,de,is deze,jojo
117,catch,1_u2_pencil.png,Dutch,sing,de,is deze,dennenappel
118,catch,1_vis_bowling ball.png,Dutch,sing,de,is deze,pijp
119,catch,2_sem_pipe.png,Dutch,sing,de,is deze,rups
120,catch,2_u1_pinecone.png,Dutch,sing,de,is deze,rijst
121,catch,2_vis_yoyo.png,Dutch,sing,de,is deze,gereedschapskist
122,catch,3_u2_paintbrush.png,Dutch,sing,de,is deze,kaars
123,catch,3_vis_sleigh.png,Dutch,sing,de,is deze,bowlingbal
124,catch,4_sem_flipflops.png,Dutch,sing,het,is dit,potlood
125,catch,5_vis_cassette.png,Dutch,sing,de,is deze,batterij
126,catch,6_u1_hookah.png,Dutch,sing,de,is deze,maïs
127,catch,6_vis_tomato.png,Dutch,sing,de,is deze,flippers
128,catch,8_u1_tambourine.png,Dutch,sing,de,is deze,gootsteenontstopper
129,catch,8_vis_canoe.png,Dutch,sing,de,is deze,verrekijker
130,catch,9_vis_coconut.png,Dutch,sing,de,is deze,framboos
